District name,District ID,Primary role,First name,Last name,Gender,Party name,Email,Photo URL,Source URL,Website,Address line 1,Address line 2,Locality,Postal code,Province,Phone,Fax,Facebook,Twitter,Personal Website
York Centre,10,Councillor,James,Pasternak,,,councillor_pasternak@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/jpasternak.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6f393293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6f393293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A22",Toronto,M5H 2N2,Ontario,416-392-1371,416-392-7299,https://www.facebook.com/CouncillorJamesPasternak,https://twitter.com/JamesPasternak,http://www.jamespasternak.ca/
York South-Weston,11,Councillor,Frances,Nunziata,,,councillor_nunziata@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/F/fnunziata.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=39393293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=39393293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C49",Toronto,M5H 2N2,Ontario,416-392-4091,416-392-4118,,,http://www.councillornunziata.com/
York South-Weston,12,Councillor,Frank,Di Giorgio,,,councillor_digiorgio@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/f-digiorgio.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=49693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=49693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B25",Toronto,M5H 2N2,Ontario,416-392-4066,416-392-1675,,,
Parkdale-High Park,13,Councillor,Sarah,Doucette,,,councillor_doucette@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/sdoucette.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6b693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6b693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C46",Toronto,M5H 2N2,Ontario,416-392-4072,416-696-3667,,,http://www.ward13.ca/
Parkdale-High Park,14,Councillor,Gord,Perks,,,councillor_perks@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/gperks.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=71493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=71493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A14",Toronto,M5H 2N2,Ontario,416-392-7919,416-392-0398,,,http://gordperks.ca/
Eglinton-Lawrence ,15,Councillor,Josh,Colle,,,councillor_colle@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/J/J-colle.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7b593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7b593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A20",Toronto,M5H 2N2,Ontario,416-392-4027,416-392-4191,https://www.facebook.com/josh.colle,https://twitter.com/joshcolle,http://www.joshcolle.ca/
Eglinton-Lawrence ,16,Councillor,Christin,Carmichael Greb,,,Councillor_CarmichaelGreb@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/c-carmichaelgreb.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=f0d39a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=f0d39a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B32",Toronto,M5H 2N2,Ontario,416-392-4090,416-392-4129,,,
Davenport,17,Councillor,Cesar,Palacio,,,councillor_palacio@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/cpalacio.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=4b393293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=4b393293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B37",Toronto,M5H 2N2,Ontario,416-392-7011,416-392-0212,,,http://cesarpalacio.com/
Davenport,18,Councillor,Ana,Bailão,,,councillor_bailao@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/abailao.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=85a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=85a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C42",Toronto,M5H 2N2,Ontario,416-392-7012,416-392-7957,,,http://www.anabailao.com/
Trinity-Spadina,19,Councillor,Mike,Layton,,,councillor_layton@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/mlayton.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=3e793293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=3e793293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C47",Toronto,M5H 2N2,Ontario,416-392-4009,416-392-4100,https://www.facebook.com/layton.mike,,http://mikelayton.to/
Trinity-Spadina,20,Councillor,Joe,Cressy,,,Councillor_Cressy@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/j-cressy.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=2d329a50a6689410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,,Toronto City Hall,"100 Queen Street West, Suite C50",Toronto,M5H 2N2,Ontario,416-392-4044,416-392-4130,,,
St. Paul's ,21,Councillor,Joe,Mihevc,,,councillor_mihevc@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/j-mihevc.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=ae893293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=ae893293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B35",Toronto,M5H 2N2,Ontario,416-392-0208,416-392-7466,,,http://www.joemihevc.com/
St. Paul's ,22,Councillor,Josh,Matlow,,,councillor_matlow@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/jmatlow.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=e7893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=e7893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A17",Toronto,M5H 2N2,Ontario,416-392-7906,416-392-0124,https://www.facebook.com/joshmatlow,https://twitter.com/JoshMatlow,http://joshmatlow.ca/
Willowdale ,23,Councillor,John, Filion,,,councillor_filion@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/jfilion.jpg  ,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8d693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8d693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B36",Toronto,M5H 2N2,Ontario,416-392-0210,416-392-7388,,,http://johnfilion.ca/
Willowdale ,24,Councillor,David,Shiner,,,councillor_shiner@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/dshiner.jpg ,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6b493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=6b493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B39",Toronto,M5H 2N2,Ontario,416-395-6413,416-397-9290,,,http://www.councillordavidshiner.com/
Don Valley West ,25,Councillor,Jaye,Robinson,,,councillor_robinson@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/jrobinson.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c6493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c6493293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A12",Toronto,M5H 2N2,Ontario,416-395-6408,416-395-6439,https://www.facebook.com/robinsonward25/,https://twitter.com/jayerobinson,http://jayerobinson.ca/
Don Valley West ,26,Councillor,Jon,Burnside,,,Councillor_Burnside@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/j-burnside.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d6e48ad43f679410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d6e48ad43f679410VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A16",Toronto,M5H 2N2,Ontario,416-392-0215,416-392-7427,,,
Toronto Centre-Rosedale ,27,Councillor,Kristyn,Wong-Tam,,,councillor_wongtam@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/k-wongtam.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=57593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=57593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A5",Toronto,M5H 2N2,Ontario,416-392-7903,416-696-4300,,,
Toronto Centre-Rosedale ,28,Councillor,Pam,McConnell,,,councillor_mcconnell@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/pmcconnell.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7a893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=7a893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A7",Toronto,M5H 2N2,Ontario,416-392-7916,416-392-7296,,,http://pammcconnell.ca/
Toronto-Danforth ,29,Councillor,Mary,Fragedakis,,,councillor_fragedakis@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/mfragedakis.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c4793293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=c4793293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C45",Toronto,M5H 2N2,Ontario,416-392-4032,416-392-4123,,,http://maryfragedakis.com/
Toronto-Danforth ,30,Councillor,Paula,Fletcher,,,councillor_fletcher@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/pfletcher.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=20793293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=20793293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C44",Toronto,M5H 2N2,Ontario,416-392-4060,416-397-5200,,,http://councillorpaulafletcher.ca/
Beaches-East York,31,Councillor,Janet,Davis,,,councillor_davis@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/J/j-davis.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d2693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=d2693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C57",Toronto,M5H 2N2,Ontario,416-392-4035,416-397-9289,,,http://www.councillordavis.com/
Beaches-East York,32,Councillor,Mary-Margaret,McMahon,,,councillor_mcmahon@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/mmcmahon.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8c893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8c893293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B28",Toronto,M5H 2N2,Ontario,416-392-1376,416-392-7444,,,http://councillormcmahon.com/
Don Valley East,33,Councillor,Shelley,Carroll,,,councillor_carroll@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/S/scarroll.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=b9a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=b9a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A4",Toronto,M5H 2N2,Ontario,416-392-4038,416-392-4101,,,http://www.shelleycarroll.ca/
Don Valley East,34,Councillor,Denzil,Minnan-Wong,,,councillor_minnan-wong@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/Files/images/D/d-minnanwong.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=05393293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=05393293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite C55",Toronto,M5H 2N2,Ontario,416-397-9256,416-397-4100,,,http://www.ward34.com/
Scarborough Southwest,35,Councillor,Michelle,Holland,,,councillor_berardinetti@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/mberardinetti.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=97a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=97a93293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A8",Toronto,M5H 2N2,Ontario,416-392-0213,416-392-7394,https://www.facebook.com/michelle.berardinetti,,http://councillorholland.ca/
Scarborough Southwest,36,Councillor,Gary,Crawford,,,councillor_crawford@toronto.ca,http://www1.toronto.ca/City%20Of%20Toronto/City%20Clerks/Councillors/files/images/g-crawford.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8d593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=8d593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite A11",Toronto,M5H 2N2,Ontario,416-392-4052,416-696-3658,https://www.facebook.com/Councillor-Gary-Crawford-226933110655693/,https://twitter.com/CllrCrawford,http://www.councillorcrawford.ca/
Scarborough Centre,37,Councillor,Michael ,Thompson,,,councillor_thompson@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/mthompson.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=33593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=33593293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B24",Toronto,M5H 2N2,Ontario,416-397-9274,416-397-9280,,,
Scarborough Centre,38,Councillor,Glenn,De Baeremaeker,,,councillor_debaeremaeker@toronto.ca,http://www1.toronto.ca/city_of_toronto/city_clerks/councillors/files/images/gdebaeremaeker.jpg,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=25693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=25693293dc3ef310VgnVCM10000071d60f89RCRD&vgnextchannel=c3a83293dc3ef310VgnVCM10000071d60f89RCRD,Toronto City Hall,"100 Queen Street West, Suite B31",Toronto,M5H 2N2,Ontario,416-392-0204,416-392-7428,,,http://www.helloglenn.ca/
